주소,위도,경도,지점
강원특별자치도 인제군 인제읍 남북리 388 하늘내린센터 1층 CGV인제강원특별자치도 인제군 인제읍 비봉로 44번길 100 1층 CGV인제,128.1652672,38.0607754,CGV인제
"강원특별자치도 춘천시 퇴계동 1017 투탑시티 3층 CGV춘천강원특별자치도 춘천시 지석로 80 (퇴계동, 투탑시티 3층) CGV춘천",127.7437431,37.850566,CGV춘천
충남 논산시 내동 452 시네마타워 3층충남 논산시 시민로 181 시네마타워 3층,127.0975123,36.1830931,CGV논산
충남 당진시 우두1로 88 (읍내동)충남 당진시 읍내동 1532번지,126.6302105,36.9019681,CGV당진
"대전광역시 중구 문화동 1-16 세이2 6층대전광역시 중구 계백로 1700, 6층(문화동)",127.4089631,36.3210118,CGV대전
대전광역시 서구 가수원동 1042번지 KD U PLAZA 5층~6층대전광역시 서구 도안동로 11번길 45 KD U PLAZA 5층~6층,127.3507523,36.30548,CGV대전가수원
"대전광역시 동구 가오동 557 패션아일랜드 4층대전광역시 동구 은어송로 72, 4층(가오동)",127.45802,36.3069376,CGV대전가오
대전광역시 서구 탄방동 745 세이탄방점 7층대전광역시 서구 문정로 85 세이탄방점 7층,127.3888544,36.3470308,CGV대전탄방
"충남 서산시 동문동 1029-1번지 서산 디퍼 아울렛 內충남 서산시 안견로 242 (동문동, 서산상설패션타운)",126.4564747,36.7785892,CGV서산
세종특별자치시 종촌동 673 몰리브 7층 CGV세종특별자치시 도움1로 108 몰리브 7층 CGV,127.2475571,36.5025935,CGV세종
"충남 아산시 온천동 79-1충남 아산시 온천대로 1538, 아산시네파크 5층, 6층",127.0084602,36.7802304,CGV아산
대전광역시 유성구 노은로 144 노은타운7층 CGV유성노은대전광역시 유성구 지족동 905-4번지 7층 CGV유성노은,127.3184983,36.3725132,CGV유성노은
"충청북도 제천시 강제동 304-21 더캐슬CGV제천 2,3,4층충청북도 제천시 장평천로 27-13 더캐슬CGV제천 2,3,4층",128.2219339,37.1235512,CGV제천
"충청남도 천안시 대흥동 102-10번지 5층충청남도 천안시 동남구 명동길 47, 5층(대흥동)",127.1483996,36.807708,CGV천안
"충청남도 천안시 서북구 불당동 1485 센트에비뉴 2,3,4층충청남도 천안시 서북구 번영로 201 센트에비뉴 2,3,4층",127.1100756,36.8191203,CGV천안시청
천안시 동남구 신부동 354-1 신세계  천안아산점 B관 4F천안시 동남구 만남로 43 신세계  천안아산점 B관 4F,127.1567545,36.8202926,CGV천안터미널
"충청남도 천안시 서북구 불당동 1289 펜타포트 5층충청남도 천안시 서북구 공원로 196, 5층(불당동)",127.101363,36.798284,CGV천안펜타포트
충청북도 청주시 상당구 서문동 29-2충청북도 청주시 상당구 상당로81번길 63  (서문동),127.4869165,36.6349818,CGV청주(서문)
충청북도 청주시 상당구 북문로 1가 170-1충청북도 청주시 상당구 상당로81번길 33(북문로 1가),127.4880821,36.6352472,CGV청주성안길
"충청북도 청주시 청원구 율량동 500-3, 3관 2층충청북도 청주시 청원구 충청대로 114 (라마다프라자 청주), 3관 2층",127.4950266,36.6667354,CGV청주율량
충청북도 청주시 흥덕구 복대동 288-14충청북도 청주시 흥덕구 대농로 47-1,127.429202,36.6425776,CGV청주지웰시티
